hhid	pid	sim_id	mobile_sim_ownership	mobile_sim_access	nb_handsets	network	contract	airtime_expt	calls_per_day	coverage	first_usage_m	first_usage_y	reason_multiple1	reason_multiple2	reason_multiple_other	reason_separate	reason_separate_other
1282070.0	1	1	1		1	1	2	1000	4	1	99	2006					
1282045.0	1	1	1		1	1	2	9999999	1	1	12	2007					
1282028.0	1	1	1		1	1	2	4000	10	1	6	2005					
1283033.0	2	1	2	1		2	2	1500	10	1	99	2007					
1283046.0	1	1	1		1	1	2	1500	10	1	3	2005					
1283020.0	1	1	1		1	1	2	500	1	1	6	9999					
1283086.0	2	1	2	1		1	2	1000	2	1	6	2006					
1283072.0	2	1	2	1		3	2	1500	2	1	10	2007					
1283006.0	2	1	2	1		1	2	1000	4	1	2	2008					
1283099.0	1	1	1		1	1	2	3000	12	4	6	1998	1				
1283099.0	1	2	1		1	2	2	2000	7	1	6	1998	1				
1283125.0	2	1	1		1	1	2	300	3	1	3	2007					
1284047.0	2	1	2	1		1	2	2000	1	1	4	2005					
1284010.0	1	1	1		1	2	2	9999999	4	1	2	2006					
1284035.0	1	1	1		1	1	2	800	3	1	9	2005					
1284084.0	1	1	1		1	1	2	1500	4	2	1	2008					
1284072.0	2	1	1		1	1	2	1500	5	1	12	2007					
1284060.0	1	1	1		1	1	2	1500	5	1	99	2005					
1284109.0	1	1	1		1	1	2	1500	3	1	12	2007					
1284122.0	2	1	2	1		1	2	1000	4	1	10	2006					
1284097.0	2	1	1		1	3	2	2000	2	1	10	2003					
1284022.0	1	1	1		1	1	2	500	2	1	2	2008					
1294014.0	1	1	1		2	2	2	500	7	1	5	2005	1				
1294014.0	1	2	1		2	2	2	500	3	1	5	2005	1				
1294082.0	2	1	1		1	1	2	9999999	3	1	1	2007					
1294055.0	2	1	1		1	1	2	1100	3	1	5	2006					
1294096.0	1	1	1		1	1	2	1000	20	1	7	2003					
1294123.0	1	1	1		1	1	2	1000	2	4	12	2005					
1294041.0	1	1	1		1	1	2	2000	8	1	8	2007					
1294068.0	1	1	1		3	1	2	300	1	1	2	2001					
1294109.0	2	1	1		1	1	2	300	4	1	7	2002					
1294027.0	2	1	1		1	1	2	1300	4	1	4	2006					
1294137.0	1	1	1		2	1	2	3000	8	1	8	2001	4				
1294137.0	1	2	1		2	1	2	5000	20	1	8	2001	4				
1295014.0	2	1	1		1	1	2	1500	10	1	99	2002					
1295096.0	1	1	1		1	2	2	1000	5	1	9	2006					
1295084.0	1	1	1		1	1	2	1500	6	1	3	2000					
1295073.0	1	1	1		1	1	2	1500	10	1	3	2006					
1295108.0	1	1	1		1	1	2	1000	5	1	4	2006					
